,X10_9S_N_C_2,X11_9S_N_C_2,X12_9S_N_C_2,X13_9S_N_C_2,X14_9S_N_C_2,X15_9S_N_C_2,X16_9S_N_C_2,X17_9S_N_C_2,X18_9S_N_C_2,X19_9S_N_C_2,X20_9S_N_C_2
Otu31,0.121621621621622,0.0202702702702703,0.0202702702702703,0.0236486486486486,0.0168918918918919,0.0135135135135135,0.00675675675675676,0.0439189189189189,0.0506756756756757,0.097972972972973,0.101351351351351
Otu201,0.00337837837837838,0.00337837837837838,0.00675675675675676,0,0,0,0,0,0.00337837837837838,0,0
Otu199,0.0439189189189189,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu212,0,0,0,0,0.00675675675675676,0,0,0.0371621621621622,0.00337837837837838,0,0
Otu1856,0.00337837837837838,0.0337837837837838,0.0743243243243243,0.0337837837837838,0,0.172297297297297,0.260135135135135,0.0236486486486486,0.00675675675675676,0.0304054054054054,0.0371621621621622
Otu117,0.00337837837837838,0.0135135135135135,0.0337837837837838,0.0641891891891892,0.027027027027027,0.0506756756756757,0.00337837837837838,0.0236486486486486,0.0202702702702703,0.0337837837837838,0.0304054054054054
Otu42,0.0810810810810811,0.0844594594594595,0.155405405405405,0.0337837837837838,0.00337837837837838,0,0,0.0202702702702703,0,0,0
Otu24,0.0439189189189189,0.121621621621622,0.0878378378378378,0.0675675675675676,0.0574324324324324,0.0371621621621622,0,0.0101351351351351,0,0.00675675675675676,0.027027027027027
Otu114,0.00337837837837838,0.027027027027027,0.0337837837837838,0.0844594594594595,0.00675675675675676,0,0.00337837837837838,0.0101351351351351,0,0,0
Otu198,0,0.00337837837837838,0.00675675675675676,0.00337837837837838,0.0168918918918919,0,0,0,0,0,0
Otu57,0.0135135135135135,0,0.0810810810810811,0.0777027027027027,0,0,0.00337837837837838,0.0236486486486486,0,0,0.027027027027027
Otu32,0.0101351351351351,0.027027027027027,0.0641891891891892,0.0743243243243243,0.114864864864865,0.138513513513514,0,0.0743243243243243,0.0371621621621622,0.0743243243243243,0.0540540540540541
Otu3873,0.0337837837837838,0.0135135135135135,0,0.00337837837837838,0.0304054054054054,0.00337837837837838,0.0304054054054054,0.0101351351351351,0,0.0135135135135135,0
Otu193,0,0.00337837837837838,0.0135135135135135,0.0101351351351351,0,0,0.0135135135135135,0,0,0,0
Otu264,0,0,0,0,0,0,0,0,0,0.0135135135135135,0
Otu470,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu9526,0.0168918918918919,0.0405405405405405,0.00675675675675676,0.0405405405405405,0.0202702702702703,0.0101351351351351,0,0.0101351351351351,0,0.0101351351351351,0.0101351351351351
Otu10837,0.0202702702702703,0,0,0,0,0,0,0,0,0,0
Otu5,0.0304054054054054,0.179054054054054,0.172297297297297,0.0168918918918919,0.0439189189189189,0.0675675675675676,0.0101351351351351,0.0709459459459459,0.138513513513514,0.027027027027027,0.0709459459459459
Otu3234,0,0,0,0,0,0.0101351351351351,0,0,0,0,0
Otu1213,0.0236486486486486,0,0,0,0.00675675675675676,0.00337837837837838,0,0.0168918918918919,0.0472972972972973,0.00675675675675676,0.0304054054054054
Otu109,0,0.0101351351351351,0.00337837837837838,0.0202702702702703,0.00675675675675676,0.00337837837837838,0,0,0,0,0.00337837837837838
Otu35,0.00337837837837838,0.00337837837837838,0.0202702702702703,0.0101351351351351,0.00337837837837838,0.0472972972972973,0.0574324324324324,0,0.0135135135135135,0,0
Otu127,0,0,0.00675675675675676,0,0,0,0,0,0.0304054054054054,0,0
Otu5288,0.00337837837837838,0,0,0,0,0,0,0,0,0,0
Otu121,0.0135135135135135,0.00337837837837838,0,0.00337837837837838,0,0.0168918918918919,0.0236486486486486,0,0.00337837837837838,0.0236486486486486,0.0202702702702703
Otu13211,0.00337837837837838,0,0,0,0,0,0,0,0,0,0.00675675675675676
Otu451,0,0,0,0.00337837837837838,0,0,0.00337837837837838,0,0.00337837837837838,0,0.0168918918918919
Otu92,0.00337837837837838,0,0,0,0,0,0,0.0101351351351351,0,0,0
Otu1298,0,0,0,0.00337837837837838,0.00337837837837838,0.00337837837837838,0,0.00337837837837838,0,0,0
Otu123,0,0,0,0.0912162162162162,0,0.00675675675675676,0.00337837837837838,0.0168918918918919,0,0.0236486486486486,0.0101351351351351
Otu3302,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu23,0.00337837837837838,0.00337837837837838,0.027027027027027,0.0168918918918919,0.00675675675675676,0.0236486486486486,0.0844594594594595,0.131756756756757,0.0236486486486486,0.0337837837837838,0.0405405405405405
Otu60,0,0.00675675675675676,0,0.027027027027027,0.108108108108108,0,0,0.0236486486486486,0,0,0.0439189189189189
Otu502,0,0,0,0,0.00337837837837838,0.00675675675675676,0,0,0.00337837837837838,0.00337837837837838,0.0101351351351351
Otu144,0.00675675675675676,0,0,0.00675675675675676,0,0.00337837837837838,0,0,0,0.0168918918918919,0.0168918918918919
Otu8284,0,0.0168918918918919,0,0,0,0.0135135135135135,0,0.0168918918918919,0.0236486486486486,0.0439189189189189,0.0135135135135135
Otu1165,0.0202702702702703,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu16,0.0371621621621622,0.0844594594594595,0,0,0,0.0304054054054054,0.0236486486486486,0.0101351351351351,0.0405405405405405,0.0101351351351351,0.027027027027027
Otu12775,0,0,0,0,0,0,0,0,0,0.00337837837837838,0
Otu692,0.00675675675675676,0,0.00337837837837838,0,0,0.00337837837837838,0,0,0,0,0
Otu762,0,0,0,0,0.0574324324324324,0,0,0,0,0,0
Otu6860,0,0,0,0,0.00675675675675676,0,0,0,0,0,0
Otu673,0,0,0,0,0,0,0,0,0,0.0101351351351351,0
Otu331,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu2205,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu986,0.0371621621621622,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu608,0,0,0.00675675675675676,0,0,0,0,0,0,0,0
Otu175,0.00675675675675676,0,0,0.00337837837837838,0.0101351351351351,0,0,0.027027027027027,0,0,0.00675675675675676
Otu1432,0,0,0,0,0.00337837837837838,0,0,0.00337837837837838,0,0,0.00337837837837838
Otu3033,0,0,0.00337837837837838,0,0,0.00337837837837838,0,0,0,0,0
Otu274,0,0,0.00337837837837838,0,0,0.00675675675675676,0.00337837837837838,0,0,0,0
Otu2158,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu2862,0,0,0.00675675675675676,0.00675675675675676,0,0,0,0,0.00337837837837838,0,0
Otu434,0,0,0,0,0,0,0.0574324324324324,0,0,0,0
Otu406,0.00337837837837838,0,0.00337837837837838,0.0439189189189189,0.00675675675675676,0.00675675675675676,0.0202702702702703,0.0304054054054054,0.0101351351351351,0.00337837837837838,0.00337837837837838
Otu390,0,0,0.00337837837837838,0.0101351351351351,0,0,0,0.00337837837837838,0,0.00337837837837838,0.0168918918918919
Otu7923,0.00337837837837838,0.0675675675675676,0,0,0,0,0,0,0,0,0
Otu134,0.00337837837837838,0.0540540540540541,0,0.00337837837837838,0,0,0,0,0,0,0
Otu139,0,0.0135135135135135,0.027027027027027,0.0236486486486486,0,0.0202702702702703,0,0,0.0202702702702703,0.0472972972972973,0
Otu163,0,0,0,0,0,0,0,0,0.00337837837837838,0,0.0135135135135135
Otu14,0,0.0608108108108108,0,0,0,0,0,0.00337837837837838,0.097972972972973,0.0945945945945946,0
Otu1928,0.0135135135135135,0,0,0,0,0,0,0,0,0,0
Otu40,0.0506756756756757,0,0.0709459459459459,0,0.0743243243243243,0,0.0405405405405405,0.0777027027027027,0.148648648648649,0.0844594594594595,0.0777027027027027
Otu131,0.00675675675675676,0.0405405405405405,0,0.0337837837837838,0.0236486486486486,0,0,0.00337837837837838,0,0,0
Otu951,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu630,0,0,0,0,0,0,0.0641891891891892,0,0,0,0
Otu1283,0,0.00675675675675676,0,0.0101351351351351,0,0,0,0,0,0,0
Otu2398,0,0,0,0.0101351351351351,0.00337837837837838,0,0.135135135135135,0.0168918918918919,0,0,0
Otu122,0.256756756756757,0,0,0,0,0,0,0,0,0,0
Otu2581,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu727,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu4063,0,0.00675675675675676,0,0,0,0,0,0,0,0,0
Otu116,0,0,0,0,0,0.00675675675675676,0.0472972972972973,0.00675675675675676,0,0,0
Otu1021,0,0,0,0,0.0506756756756757,0,0,0,0,0,0
Otu12405,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu11765,0,0.00337837837837838,0,0.00337837837837838,0,0,0,0,0,0,0
Otu825,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu5277,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu1266,0.00675675675675676,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu4656,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0,0,0
Otu2636,0,0,0,0.00675675675675676,0,0,0,0,0,0,0
Otu7076,0,0,0,0,0,0,0.00675675675675676,0,0,0,0
Otu9117,0,0,0,0.0168918918918919,0,0,0,0,0,0,0
Otu14412,0,0,0,0,0,0,0,0,0.00675675675675676,0.00337837837837838,0.0101351351351351
Otu3127,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu5530,0,0,0,0,0,0,0,0,0,0,0.00675675675675676
Otu110,0,0,0,0,0,0.0236486486486486,0,0.00675675675675676,0.0168918918918919,0.0641891891891892,0.0135135135135135
Otu1304,0,0,0,0,0.0168918918918919,0,0,0,0,0,0
Otu512,0,0,0.0135135135135135,0,0,0,0.0709459459459459,0,0,0,0
Otu420,0,0,0.0101351351351351,0.0506756756756757,0,0.00337837837837838,0,0,0,0,0
Otu6191,0.00337837837837838,0,0.00337837837837838,0.00337837837837838,0,0.00337837837837838,0,0.0135135135135135,0.00337837837837838,0.00675675675675676,0
Otu350,0,0,0,0,0,0,0,0.0439189189189189,0,0.0371621621621622,0.00337837837837838
Otu1377,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu343,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu2129,0,0,0,0,0,0,0,0,0,0,0.00675675675675676
Otu893,0.0135135135135135,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu200,0,0,0,0.00337837837837838,0.00337837837837838,0.00675675675675676,0,0.0472972972972973,0.0202702702702703,0.0135135135135135,0.00337837837837838
Otu562,0,0,0,0,0,0,0,0,0,0.00337837837837838,0
Otu2096,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu505,0.027027027027027,0,0,0,0,0,0,0,0,0,0
Otu187,0,0.0202702702702703,0,0.00337837837837838,0,0,0,0,0,0,0
Otu3615,0.0135135135135135,0.00337837837837838,0.0304054054054054,0.0168918918918919,0,0.00337837837837838,0,0,0.0101351351351351,0,0
Otu18,0,0,0,0,0,0.0439189189189189,0,0.0101351351351351,0.0135135135135135,0.00337837837837838,0.0101351351351351
Otu1049,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu11375,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu931,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu45,0,0.0236486486486486,0,0,0.152027027027027,0.118243243243243,0,0.00337837837837838,0,0.0101351351351351,0.0371621621621622
Otu1391,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu232,0,0,0,0,0,0,0,0,0.00675675675675676,0,0
Otu1540,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu11467,0,0,0,0,0,0.00675675675675676,0,0,0,0,0
Otu2329,0,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0,0
Otu2085,0,0,0,0,0,0.00675675675675676,0,0,0,0,0.00675675675675676
Otu747,0,0,0,0,0,0,0,0,0.0236486486486486,0,0
Otu311,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu253,0,0,0,0.00675675675675676,0,0,0,0,0,0,0
Otu5247,0,0,0,0,0.00675675675675676,0,0,0,0,0,0
Otu710,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu1839,0,0,0,0.00675675675675676,0,0,0,0,0,0,0
Otu166,0,0,0,0,0.00675675675675676,0,0,0.0337837837837838,0.0101351351351351,0.0912162162162162,0.0236486486486486
Otu93,0,0,0,0,0,0,0,0,0.00337837837837838,0.00675675675675676,0.0168918918918919
Otu463,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu5133,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu97,0,0,0,0,0,0,0,0.00337837837837838,0.0472972972972973,0,0.0202702702702703
Otu37,0,0,0,0,0.0709459459459459,0.0304054054054054,0.00675675675675676,0.0405405405405405,0.027027027027027,0.0304054054054054,0.0405405405405405
Otu7688,0,0,0,0,0,0,0,0,0,0.00337837837837838,0
Otu526,0,0,0,0.00337837837837838,0.00337837837837838,0.0135135135135135,0,0.00675675675675676,0,0.00337837837837838,0
Otu627,0,0,0,0,0,0,0,0,0.00675675675675676,0,0
Otu4943,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu1825,0,0,0,0,0,0,0,0,0,0,0.0101351351351351
Otu932,0,0,0,0,0,0.0101351351351351,0,0,0,0,0
Otu1141,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu29,0,0,0,0,0,0,0,0,0.0101351351351351,0,0.0135135135135135
Otu2806,0,0,0,0,0,0.00675675675675676,0,0,0,0,0
Otu3458,0,0,0,0,0,0,0.0101351351351351,0,0,0,0.00675675675675676
Otu3009,0,0,0,0,0,0,0,0.0101351351351351,0.0304054054054054,0.00675675675675676,0.027027027027027
Otu8282,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu8314,0,0,0,0,0,0,0.00675675675675676,0,0,0,0
Otu1903,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu1329,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
